Local Authorities,Designated Family Ct,RefData Court Name,Local Custodian code,Specific PostCodes,Excludes,epimms,Address,emailAddress,Status
Barnsley Metropolitan Borough Council,Sheffield Designated Family Court,Sheffield Designated Family Court,4405,,,778638,"48 West Bar, Sheffield, South Yorkshire, S3 8PH",,Open
Bedford Borough Council ,Luton Justice Centre,Luton Justice Centre,235,,,365554,"Arndale House, Floors 4 & 5, Luton Point, Luton, LU1 2EN",,Open
Birmingham City Council,Birmingham Civil and Family Justice Centre,Birmingham Civil and Family Justice Centre,4605,,,231596,"Priory Courts, 33 Bull Street, B4 6DS",,Open
Blackburn with Darwen Borough Council ,Preston Crown Court,Preston Crown Court,2372,,,102476,"Sessions House, Lancaster Road, PR1 2PD",,Open
Blackpool Borough Council,Preston Crown Court,Preston Crown Court,2373,,,102476,"Sessions House, Lancaster Road, PR1 2PD",,Open
Blaenau Gwent County Borough Council,Newport Civil and Family Court,Newport (South Wales) County Court and Family Court,6910,,,217250,"The Concourse, Clarence House, Clarence Place, Newport, Gwent, NP19 7AA",,Open
Bolton Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4205,,,701411,"Bridge Street West, M60 9DJ",,Open
Bracknell Forest Council,Reading County Court,Reading County Court and Family Court,335,,,185657,"Friar Street, RG1 1HE",,Open
Bridgend County Borough Council,Swansea DFC,Swansea Civil And Family Justice Centre,6915,,,234946,"Caravella House, Quay Parade, SA1 1SP",,Open
Brighton and Hove City County Council,Brighton DFC,Brighton County And Family Court,1445,,,298390,"1 Edward Street, Brighton, East Sussex, BN2 0JD",,Open
Buckinghamshire County Council  ,Milton Keynes County Court,Milton Keynes County Court And Family Court,440,,,815997,"Silbury Boulevard, MK9 2AJ",,Closed
Bury Metropolitan Borough Council,Manchester Civil Justice Centre,Manchester County And Family Court,4210,,,701411,"Bridge Street West, M60 9DJ",,Open
Caerphilly County Borough Council,Cardiff Civil Justice Centre,Cardiff Civil And Family Justice Centre,6920,,,234850,"2 Park Street, Cardiff, CF10 1ET",,Open
Calderdale Metropolitan Borough Council,Leeds Combined Court,Leeds Combined Court Centre,4710,,,455174,"Oxford Row, LS1 3BG",,Open
Cambridgeshire County Council ,Peterborough County Court,Peterborough Combined Court Centre,535,,,471569,"Crown Buildings, Rivergate, PE1 1EJ",,Open
Cardiff City Council,Cardiff Civil Justice Centre,Cardiff Civil And Family Justice Centre,6815,,,234850,"2 Park Street, Cardiff, CF10 1ET",,Open
Carmarthen County Council,Swansea DFC,Swansea Civil And Family Justice Centre,6825,,,234946,"Caravella House, Quay Parade, SA1 1SP",,Open
Central Bedfordshire Council ,Luton Justice Centre,Luton Justice Centre,240,,,365554,"Arndale House, Floors 4 & 5, Luton Point, Luton, LU1 2EN",,Open
Ceredigion County Council,Swansea DFC,Swansea Civil And Family Justice Centre,6820,,,234946,"Caravella House, Quay Parade, SA1 1SP",,Open
Cheshire East Borough Council,Liverpool Civil and Family Court,Liverpool Civil and Family Court,660,,,345663,"Vernon Street, City Square, L2 2BX",,Closed
Cheshire West and Chester Council,Liverpool Civil and Family Court,Liverpool Civil and Family Court,665,,,345663,"Vernon Street, City Square, L2 2BX",,Closed
City and County of Swansea,Swansea DFC,Swansea Civil And Family Justice Centre,6855,,,234946,"Caravella House, Quay Parade, SA1 1SP",,Open
City of Bradford Metropolitan District Council,Leeds Combined Court,Leeds Combined Court Centre,4705,,,455174,"Oxford Row, LS1 3BG",,Open
City of London,Central Family Court,Central Family Court,5030,,,356855,"First Avenue House, High Holborn, WC1V 6NP",,Closed
Conwy County Borough Council,Caernarfon DFC,Caernarfon Justice Centre,6905,,,366572,"Llanberis Road, LL55 2DF",,Open
